UID,nodeid,datestamp,timestamp,tempF,ppm1,ppm2,ppm3,lat,long,owner,nodeid_name
1,1,9/1/2021,0:00:00,83,0.016,0.0071,0.00205,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
2,1,9/1/2021,1:00:00,79,0.024,0.0072,0.00678,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
3,1,9/1/2021,2:00:00,87,0.022,0.004,0.00509,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
4,1,9/1/2021,3:00:00,80,0.016,0.0062,0.00501,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
5,1,9/1/2021,4:00:00,79,0.022,0.0085,0.00527,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
6,1,9/1/2021,5:00:00,50,0.024,0.0027,0.00579,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
7,1,9/1/2021,6:00:00,79,0.049,0.009,0.00727,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
8,1,9/1/2021,7:00:00,51,0.071,0.0086,0.00523,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
9,1,9/1/2021,8:00:00,70,0.012,0.008,0.00193,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
10,1,9/1/2021,9:00:00,82,0.007,0.0019,0.003,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
11,1,9/1/2021,10:00:00,73,0.004,0.0081,0.00635,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
12,1,9/1/2021,11:00:00,58,0.021,0.005,0.00494,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
13,1,9/1/2021,12:00:00,61,0.074,0.0006,0.00259,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
14,1,9/1/2021,13:00:00,76,0.049,0.0079,0.00212,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
15,1,9/1/2021,14:00:00,72,0.059,0.005,0.00084,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
16,1,9/1/2021,15:00:00,89,0.005,0.0022,0.007,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
17,1,9/1/2021,16:00:00,59,0.015,0.0025,0.00015,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
18,1,9/1/2021,17:00:00,56,0.026,0.0006,0.00166,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
19,1,9/1/2021,18:00:00,64,0.029,0.003,0.00898,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
20,1,9/1/2021,19:00:00,57,0.058,0.0039,0.00476,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
21,1,9/1/2021,20:00:00,87,0.06,0.0054,0.00291,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
22,1,9/1/2021,21:00:00,79,0.069,0.0006,0.00268,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
23,1,9/1/2021,22:00:00,77,0.004,0.0025,0.00721,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
24,1,9/1/2021,23:00:00,80,0.065,0.0085,0.00714,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
25,1,9/2/2021,0:00:00,83,0.007,0.0069,0.00026,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
26,1,9/2/2021,1:00:00,83,0.063,0.0015,0.00263,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
27,1,9/2/2021,2:00:00,86,0.025,0.0058,0.00383,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
28,1,9/2/2021,3:00:00,51,0.007,0.0041,0.00858,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
29,1,9/2/2021,4:00:00,58,0.066,0.0025,0.00131,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
30,1,9/2/2021,5:00:00,84,0.036,0.0064,0.00496,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
31,1,9/2/2021,6:00:00,75,0.05,0.0027,0.00689,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
32,1,9/2/2021,7:00:00,79,0.053,0.0023,0.00178,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
33,1,9/2/2021,8:00:00,88,0.046,0.0017,0.00344,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
34,1,9/2/2021,9:00:00,57,0.074,0.0046,0.00449,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
35,1,9/2/2021,10:00:00,78,0.007,0.005,0.00216,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
36,1,9/2/2021,11:00:00,75,0.029,0.0067,0.00428,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
37,1,9/2/2021,12:00:00,54,0.001,0.0058,0.00673,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
38,1,9/2/2021,13:00:00,73,0.061,0.0041,0.00811,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
39,1,9/2/2021,14:00:00,69,0.062,0.0029,0.00248,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
40,1,9/2/2021,15:00:00,60,0.065,0.0003,0.00374,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
41,1,9/2/2021,16:00:00,67,0.034,0.0046,0.00266,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
42,1,9/2/2021,17:00:00,64,0.018,0.0047,0.00093,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
43,1,9/2/2021,18:00:00,83,0.026,0.0001,0.00733,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
44,1,9/2/2021,19:00:00,76,0.043,0.0016,0.00375,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
45,1,9/2/2021,20:00:00,57,0.051,0.0052,0.00684,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
46,1,9/2/2021,21:00:00,71,0.041,0.0015,0.00581,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
47,1,9/2/2021,22:00:00,50,0.052,0.0071,0.00364,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
48,1,9/2/2021,23:00:00,60,0.066,0.0079,0.0033,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
49,1,9/3/2021,0:00:00,75,0.034,0.0006,0.00024,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
50,1,9/3/2021,1:00:00,77,0.017,0.0009,0.00594,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
51,1,9/3/2021,2:00:00,75,0.045,0.0057,0.00386,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
52,1,9/3/2021,3:00:00,68,0.054,0.006,0.00858,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
53,1,9/3/2021,4:00:00,52,0.07,0.006,0.00667,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
54,1,9/3/2021,5:00:00,80,0.02,0.0006,0.0012,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
55,1,9/3/2021,6:00:00,82,0.011,0.0071,0.007,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
56,1,9/3/2021,7:00:00,60,0.009,0.004,0.00709,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
57,1,9/3/2021,8:00:00,77,0.057,0.0065,0.00041,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
58,1,9/3/2021,9:00:00,84,0.051,0.0057,0.00152,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
59,1,9/3/2021,10:00:00,82,0.037,0.0027,0.00348,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
60,1,9/3/2021,11:00:00,63,0.01,0.0043,0.00722,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
61,1,9/3/2021,12:00:00,55,0.038,0.0031,0.00062,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
62,1,9/3/2021,13:00:00,80,0.011,0.0033,0.00179,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
63,1,9/3/2021,14:00:00,62,0.033,0.0064,0.0082,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
64,1,9/3/2021,15:00:00,85,0.001,0.0006,0.00432,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
65,1,9/3/2021,16:00:00,63,0.009,0.0029,0.00629,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
66,1,9/3/2021,17:00:00,82,0.002,0.0087,0.00229,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
67,1,9/3/2021,18:00:00,65,0.043,0.0044,0.00658,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
68,1,9/3/2021,19:00:00,82,0.004,0.0023,0.00653,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
69,1,9/3/2021,20:00:00,79,0.029,0.0072,0.00191,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
70,1,9/3/2021,21:00:00,84,0.007,0.0009,0.00017,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
71,1,9/3/2021,22:00:00,69,0.025,0.0004,0.0019,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
72,1,9/3/2021,23:00:00,84,0.016,0.0054,0.00474,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
73,1,9/4/2021,0:00:00,71,0.058,0.0024,0.00229,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
